,category
0,Blouses
1,Shirts
2,Polo Shirts
3,Sneakers
4,Tank Tops
5,Crop Tops
6,Sweaters
7,Hoodies
8,Sweatshirts
9,Jeans
10,Trousers
11,Leggings
12,Pants
13,Shorts
14,Skirts
15,Dresses
16,Evening Dresses
17,Cocktail Dresses
18,Jackets
19,Coats
20,Vests
21,Pajamas
22,Robes
23,Underwear
24,Bras
25,Panties
26,Belts
27,Hats
28,Scarves
29,Gloves
30,Handbags
31,Backpacks
32,Wallets
33,Tote Bags
34,Necklaces
35,Bracelets
36,Rings
37,Earrings
38,Watches
39,Sunglasses
40,Boots
41,Sandals
42,Slippers
43,Loafers
44,High Heels
45,Flats
46,Ankle Boots
47,Running Shoes
48,T-shirts
49,Swimwear
50,Sweatpants
51,Bikinis
52,Swimsuits
